epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1201,1.88458,4.84379,1.07136,0,0,0,0,0,144.372,0,6e-05,6e-05,6e-05
2,33.6364,1.56494,4.24531,0.98841,0,0,0,0,0,145.683,0,0.000138614,0.000138614,0.000138614
3,50.3874,1.67622,3.31473,0.94134,0,0,0,0,0,146.202,0,0.000215644,0.000215644,0.000215644
4,67.09,1.58903,2.52964,0.90661,0,0,0,0,0,145.929,0,0.00029109,0.00029109,0.00029109
5,84.0433,1.50266,2.13192,0.92906,0,0,0,0,0,144.779,0,0.000364952,0.000364952,0.000364952
6,100.774,1.50192,2.17207,0.93626,0,0,0,0,0,143.125,0,0.00043723,0.00043723,0.00043723
7,117.368,1.53115,2.08063,0.93579,0,0,0,0,0,140.274,0,0.000507924,0.000507924,0.000507924
8,134.324,1.29358,1.71845,0.88432,0,0,0,0,0,134.455,0,0.000577034,0.000577034,0.000577034
9,151.075,1.43786,1.70763,0.90857,0,0,0,0,0,131.569,0,0.00064456,0.00064456,0.00064456
10,167.877,1.45398,1.69397,0.89656,0,0,0,0,0,126.007,0,0.000710502,0.000710502,0.000710502
11,184.695,1.5691,1.84531,0.93781,0,0,0,0,0,121.146,0,0.00077486,0.00077486,0.00077486
12,201.64,1.61018,1.74048,0.9045,0,0,0,0,0,134.072,0,0.000837634,0.000837634,0.000837634
13,218.574,1.4821,1.67965,0.92589,0,0,0,0,0,113.547,0,0.000898824,0.000898824,0.000898824
14,235.245,1.36171,1.49584,0.87936,0,0,0,0,0,110.377,0,0.00095843,0.00095843,0.00095843
15,251.72,1.41119,1.57245,0.89144,0,0,0,0,0,104.331,0,0.00101645,0.00101645,0.00101645
16,268.372,1.27503,1.52894,0.90535,0,0,0,0,0,101.706,0,0.00107289,0.00107289,0.00107289
17,285.205,1.37864,1.4268,0.94656,0,0,0,0,0,101.014,0,0.00112774,0.00112774,0.00112774
18,302.207,1.44376,1.46593,0.87586,0,0,0,0,0,95.9889,0,0.00118101,0.00118101,0.00118101
19,318.974,1.36414,1.32959,0.92682,0,0,0,0,0,93.0149,0,0.0012327,0.0012327,0.0012327
